,score,colorIndex
1,3,1
2,3,3
3,3,2
4,3,4
5,2,5
6,2,6
7,2,7
8,13,8
9,9,20
10,11,10
11,2,11
12,2,12
13,5,13
14,6,9
15,8,14
16,7,15
17,2,22
18,2,16
19,3,17
20,22,18
21,4,19
22,13,21
23,23,28
24,18,23
25,2,41
26,2,24
27,16,25
28,11,26
29,14,27
30,3,42
31,3,29
32,3,30
33,3,32
34,2,31
35,2,33
36,2,34
37,2,35
38,2,36
39,2,37
40,4,38
41,35,39
42,28,40
43,37,44
44,3,45
45,3,47
46,21,59
47,14,48
48,12,49
49,2,50
50,14,63
51,13,51
52,2,52
53,2,53
54,2,54
55,2,55
56,11,56
57,12,46
58,3,57
59,23,58
60,3,60
61,19,61
62,21,43
63,25,62
64,43,65
65,13,76
66,11,66
67,2,67
68,2,68
69,2,69
70,2,70
71,2,71
72,2,72
73,2,73
74,2,74
75,3,75
76,21,77
77,3,78
78,2,79
79,2,80
80,2,81
81,2,82
82,2,83
83,2,84
84,2,85
85,22,64
