,score,colorIndex
1,2,1
2,3,2
3,5,4
4,3,5
5,3,3
6,4,6
7,2,7
8,2,8
9,2,9
10,2,10
11,2,11
12,2,12
13,2,13
14,2,14
15,2,15
16,2,16
17,2,17
18,2,18
19,2,19
20,2,20
21,2,21
22,2,22
23,3,25
24,3,23
25,5,24
26,3,26
27,2,27
28,2,28
29,2,29
30,2,30
31,2,31
32,2,32
33,2,33
34,2,34
35,2,35
36,2,36
37,2,37
38,2,38
39,2,39
40,2,40
41,2,41
42,2,42
43,3,45
44,3,43
45,5,44
46,3,46
47,2,47
48,2,48
49,2,49
50,2,50
51,2,51
52,2,52
53,2,53
54,2,54
55,2,55
56,2,56
57,2,57
58,2,58
59,2,59
60,2,60
61,2,61
62,2,62
63,2,63
64,4,67
65,2,64
66,3,65
67,7,66
68,3,68
69,2,69
70,2,70
71,2,71
72,2,72
73,2,73
74,2,74
75,2,75
76,2,76
77,2,77
78,2,78
79,2,79
80,2,80
81,2,81
82,2,82
83,2,83
84,2,84
85,2,85
